timestep,demand_el,
1,209643.3416,
2,207497.2008,
3,200108.0149,
4,191892.6802,
5,185717.3331,
6,180672.7484,
7,172683.5661,
8,170048.1975,
9,171132.8063,
10,179532.7553,
11,189155.7738,
12,201026.4709,
13,208466.4257,
14,207718.7379,
15,205443.3671,
16,206255.6699,
17,217240.2185,
18,232798.5855,
19,237321.6349,
20,232387.8188,
21,224306.3294,
22,219280.2061,
23,223701.7177,
24,213926.3925,
25,201834.1583,
26,192215.7552,
27,187152.709,
28,184355.8029,
29,184438.8793,
30,182786.5817,
31,180105.0595,
32,191509.6056,
33,207104.8955,
34,222501.725,
35,231127.8264,
36,238410.8591,
37,241184.6884,
38,237413.9421,
39,234469.3446,
40,235193.9556,
41,242730.8328,
42,264196.8563,
43,265950.6918,
44,260283.0339,
45,245578.5078,
46,238849.318,
47,241553.9169,
48,231372.4403,
49,218135.5977,
50,208761.8085,
51,201492.6219,
52,194421.8956,
53,192118.8327,
54,187983.4732,
55,181517.3586,
56,185246.5667,
57,191874.2188,
58,202715.6914,
59,213700.24,
60,225649.3982,
61,229346.2988,
62,223484.7959,
63,219326.3597,
64,218684.8251,
65,230273.9855,
66,249824.6359,
67,254873.836,
68,249547.7145,
69,239841.6196,
70,235807.798,
71,240723.1527,
72,229821.6805,
73,217863.2916,
74,207418.7397,
75,201935.6961,
76,199406.4807,
77,201095.7012,
78,205706.4424,
79,222427.8793,
80,247180.0366,
81,262415.3286,
82,271932.1939,
83,278416.7699,
84,283821.3524,
85,285838.2632,
86,282782.8972,
87,279990.6064,
88,278126.0024,
89,283147.5103,
90,300847.4028,
91,299767.4094,
92,294953.5925,
93,281296.7524,
94,273252.1859,
95,269292.2099,
96,256387.6729,
97,245984.6592,
98,236135.4883,
99,229480.1441,
100,225792.4742,
101,227089.3894,
102,233721.6568,
103,252852.3098,
104,281499.828,
105,295244.3599,
106,298996.6448,
107,301895.0887,
108,305864.2954,
109,306865.8278,
110,305222.7608,
111,301142.7856,
112,298585.8781,
113,301673.5516,
114,315150.3928,
